OTU_ID,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample31,sample32,sample33,sample35,sample36
denovo0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,5
denovo3,0,1,0,7,0,0,0,3,0,2,0,1,0,0,4,0,1,0,1,0,1,0,1,0,2,0,3,2,0,2,0,0
denovo9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0
denovo10,1,0,2,0,4,0,1,0,3,0,1,0,0,3,0,3,0,0,0,1,0,4,0,3,0,0,0,0,4,0,0,1
denovo25,0,2,1,1,2,2,1,2,5,0,3,6,2,2,8,1,3,1,6,1,2,1,1,1,0,1,1,0,0,2,2,2
denovo53,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0
denovo61,1,0,0,0,2,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1
denovo70,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0
denovo71,17,7,19,3,40,5,59,5,48,7,51,7,3,39,6,24,6,15,9,35,7,168,7,12,21,50,1,34,38,1,1,35
denovo72,0,4,0,1,1,3,0,4,3,0,0,2,2,3,5,0,0,0,0,0,3,1,0,1,2,0,2,1,1,1,6,0
denovo75,0,14,0,4,0,1,0,7,0,3,0,18,3,0,8,0,4,0,3,0,5,0,0,0,11,0,8,4,0,10,3,0
denovo78,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,12
denovo88,0,2,0,3,2,1,0,1,0,1,97,0,1,0,0,0,1,0,0,0,5,5,4,2,0,1,1,3,0,5,2,1
denovo92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
denovo98,0,14,0,2,0,22,0,41,0,5,0,1,7,0,6,0,4,0,40,0,6,0,0,0,3,0,5,7,0,36,5,0
denovo103,20,17,24,10,20,16,22,14,49,10,41,40,24,27,25,18,9,12,43,31,20,52,20,24,15,20,11,11,26,19,17,26
denovo105,0,1,0,0,0,0,0,1,0,0,0,4,1,0,1,0,2,0,3,0,0,1,3,0,1,0,0,2,0,0,1,0
denovo112,1,2,1,1,0,0,0,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
denovo120,2,0,1,0,3,1,1,0,5,0,0,1,0,1,0,3,0,0,0,0,0,3,0,2,0,5,0,0,3,0,0,14
denovo127,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
denovo131,16,28,14,23,18,27,20,29,28,24,16,27,26,19,27,19,25,16,36,34,25,27,24,20,26,41,28,21,15,20,33,15
denovo132,12,23,39,18,12,24,14,11,26,14,521,25,13,22,17,6,12,3,16,152,13,44,17,21,13,13,9,13,23,14,18,31
denovo135,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,3,0,0,0,0,0,1,1,0,0
denovo156,0,1,0,2,0,17,0,1,0,52,0,2,11,0,47,0,47,0,42,0,9,0,8,0,13,0,1,18,0,3,3,0
denovo164,0,9,0,6,0,13,0,17,0,1,0,3,55,1,7,0,4,0,21,1,3,0,1,0,14,0,7,6,0,508,0,0
denovo176,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0
denovo183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,6,0,0,0,0,1,0
denovo194,0,0,0,0,0,1,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,3,0
denovo205,0,0,0,0,2,0,0,0,2,0,2,0,0,3,0,0,0,2,0,0,0,4,0,1,0,4,0,0,3,0,0,0
denovo206,0,36,0,17,1,18,0,8,0,13,0,17,11,2,1073,1,19,0,28,1,11,1,7,1,16,0,15,8,0,14,19,0
denovo229,1,1,1,0,6,1,8,0,1,0,3,0,0,3,0,8,0,0,0,3,0,4,0,2,1,0,0,0,4,0,0,0
denovo232,3,5,5,3,2,3,4,3,6,4,2,5,4,5,8,2,4,1,5,2,0,6,5,1,2,2,2,0,3,0,3,1
denovo235,1,0,2,0,0,0,1,0,3,0,0,0,0,4,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0
denovo237,1,159,1,63,1,1319,0,51,1,65,0,97,46,1,78,3,80,0,1325,2,42,0,39,2,58,0,62,1514,1,71,115,0
denovo239,5,15,13,11,12,13,8,8,26,8,6,16,3,7,30,6,7,3,22,6,10,5,3,5,8,4,6,9,3,10,11,6
denovo243,8,4794,5,4380,6,187,8,84,3,107,3,5740,142,4,224,1,148,6,1607,5,133,8,85,7,153,5,985,582,4,1375,169,5
denovo246,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,1,3,0,4,0,1,1,4,0,0,1,0,1,2
denovo265,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,4,0,14,0,9,0,0,3,0,4,9,0
denovo273,2,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,1
denovo282,0,0,0,0,3,0,2,0,9,0,2,0,0,2,0,1,0,1,0,1,0,2,0,1,0,5,0,0,0,0,0,1
denovo284,1,11,4,1,12,6,13,1,0,1,4,244,16,0,19,0,0,0,72,0,2,3,80,5,0,0,9,0,11,3,4,1
denovo286,0,4,0,12,0,7,0,7,0,0,0,3,5,0,2,0,7,0,8,0,6,0,3,0,7,0,3,2,0,2,4,0
denovo291,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
denovo302,0,0,0,0,1,0,1,0,3,0,5,0,0,1,0,1,0,0,0,1,0,1,2,4,0,1,0,0,0,0,0,1
denovo364,3,0,9,0,13,0,4,0,51,0,1,3,0,13,0,0,0,8,0,55,3,18,0,21,0,10,0,1,14,0,0,19
denovo372,3,0,0,1,1,0,1,2,5,4,3,4,1,2,3,1,2,1,3,2,0,0,0,0,0,2,1,0,1,0,0,0
denovo376,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0
denovo382,11,53,5,81,7,48,13,89,13,116,6,156,83,17,99,4,152,4,73,11,22,14,75,8,69,10,65,141,3,145,128,10
denovo385,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0
denovo390,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
denovo395,2,1,2,0,1,1,2,0,4,3,4,3,4,4,2,2,0,1,2,1,1,2,1,0,1,1,1,2,0,0,1,0
denovo397,0,1,0,0,1,13,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0
denovo407,1,0,0,0,2,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3
denovo409,0,1,0,0,0,2,0,1,0,0,0,4,1,0,4,0,0,0,0,0,1,0,0,0,5,0,2,0,0,2,0,0
denovo430,0,1,1,1,0,0,0,0,3,1,0,3,1,0,0,0,1,0,0,1,0,1,2,0,1,0,1,4,1,1,1,0
denovo439,0,619,1,58,0,1204,0,36,3,43,2,66,43,0,57,0,64,1,67,3,49,1,344,0,50,4,2076,31,0,305,63,1
denovo441,2,8,7,2,2,5,9,5,10,8,12,3,1,4,4,2,4,4,8,6,7,7,6,5,8,3,4,4,1,5,5,2
denovo456,0,2,1,7,0,2,0,1,0,5,1,4,3,1,3,0,1,0,3,1,2,0,4,0,5,0,0,2,0,2,24,0
denovo476,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3
denovo494,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,12,0,6,0,0,0,0,0,0,0,0,0,2
denovo511,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
denovo520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,3,0,0,1,0,0,0
denovo540,2,0,2,0,0,1,15,2,0,0,0,2,3,0,2,0,0,0,3,2,2,0,3,1,0,0,2,2,2,1,0,1
denovo548,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0
denovo550,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,1
denovo561,11,0,1,1,4,0,2,0,32,1,0,2,1,42,0,0,0,9,0,6,0,30,0,29,0,26,0,0,2,0,0,2
denovo596,1,0,17,2,2,2,8,0,74,1,3,3,2,9,0,1,1,7,4,3,0,4,0,7,4,2,2,5,1,4,1,3
denovo604,2,3,1,1,7,4,2,3,27,5,1,6,3,1,3,7,5,12,4,14,2,3,4,2,2,0,2,4,6,3,4,2
denovo605,6,0,8,2,10,0,7,0,9,1,11,0,1,11,0,5,0,6,0,4,0,6,0,13,0,16,0,0,8,0,0,1
denovo632,21,0,11,0,3,0,5,0,8,0,16,0,0,19,0,7,0,10,0,46,0,34,0,14,0,17,0,0,13,0,0,9
denovo643,1,0,0,1,1,2,0,2,2,0,2,0,0,1,1,2,0,0,0,0,0,2,0,1,3,2,1,0,1,0,0,1
denovo644,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,3,0,1,0,2,0,0,2,0,0,1
denovo647,7,0,1,0,4,2,3,0,9,2,3,0,0,3,0,2,0,3,0,1,0,7,2,3,0,2,0,1,8,0,0,3
denovo655,1,0,3,0,1,0,2,0,3,1,2,0,1,3,0,4,0,0,0,0,0,3,0,5,0,2,0,0,2,0,0,1
denovo659,0,2,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,3,0
denovo662,0,3,2,4,6,2,7,1,20,8,3,7,3,2,5,0,3,1,2,20,9,8,3,9,2,4,3,3,5,1,7,3
denovo673,0,7,0,4,0,2,0,0,0,5,0,6,1,0,4,0,3,0,14,0,1,0,2,0,2,0,1,4,0,2,5,0
denovo675,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
denovo678,0,1,0,19,0,0,0,1,0,1,0,1,1,0,3,0,0,0,4,0,10,1,1,0,6,0,3,2,0,3,0,0
denovo685,5,0,2,0,3,0,15,0,3,0,27,0,0,11,0,1,0,5,1,10,0,20,0,58,0,4,0,0,45,0,0,9
denovo693,86,0,7,0,20,1,3,0,5,1,3,0,0,5,0,5,0,2,0,6,0,39,0,2,0,1,1,0,0,0,0,4
denovo710,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,1,1,0,0,0,0,0,1,0,0,2,0,0
denovo720,2,2,2,0,4,1,10,0,5,1,3,2,2,1,0,1,0,3,2,3,1,7,1,1,2,0,1,0,0,0,0,6
denovo732,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,4,0,2,0,2,0,0,0,0,3,0,0,0
denovo758,0,2,2,1,0,1,0,3,2,2,2,2,0,0,1,0,4,0,3,2,0,1,1,2,1,1,5,2,1,1,121,0
denovo770,0,1,0,0,1,0,7,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0
denovo788,0,0,0,1,0,1,0,1,0,2,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
denovo794,3,0,3,1,5,3,6,2,4,0,4,3,2,2,2,0,1,2,0,4,1,4,0,5,1,3,0,1,5,2,4,4
denovo802,0,0,0,1,2,1,1,2,3,0,2,1,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0
denovo804,0,2,0,0,0,2,0,0,1,0,1,1,0,0,1,0,1,1,2,2,0,0,1,0,1,0,1,2,0,1,1,1
denovo805,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1
denovo806,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,4,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0
denovo817,1,0,1,2,1,2,1,0,4,2,2,2,2,1,3,1,4,0,1,3,2,3,2,0,1,0,1,0,0,1,1,0
denovo825,0,4,0,0,0,1,0,1,0,2,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
denovo833,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0,4,0,2,1,0,1,4,0
denovo835,4,1,2,0,2,1,2,0,3,2,1,1,1,2,0,2,0,2,2,6,1,6,2,4,1,5,2,0,8,2,0,6
denovo837,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0
denovo838,1,0,4,0,3,1,2,0,21,0,2,0,0,2,0,0,0,5,0,16,0,2,0,9,0,2,0,0,4,0,0,0
denovo839,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,2,0,1,0,2,1,0,1,2,0
denovo845,7,68,61,3,75,71,185,21,5,26,51,2410,136,0,169,1,6,2,639,0,8,12,734,30,30,10,84,6,54,23,19,18
denovo851,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0
denovo857,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
denovo859,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
