OTU_ID,kingdom,phylum,class,order,family,genus,specie
denovo0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Incertae sedis,Toxicocladosporium,Toxicocladosporium strelitziae
denovo3,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,unidentified,unidentified,Eurotiales sp
denovo9,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus penicillioides
denovo10,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora nattrassii
denovo25,No blast hit,,,,,,
denovo53,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium,Simplicillium sp
denovo61,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Bensingtonia,Bensingtonia sp
denovo70,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus melleus
denovo71,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Incertae sedis,Erythrobasidium,Erythrobasidium hasegawianum
denovo72,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Cryptosphaeria,Cryptosphaeria eunomia
denovo75,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citreonigrum
denovo78,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
denovo88,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium delphinoides
denovo92,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium,Simplicillium minatense
denovo98,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citreonigrum
denovo103,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella sp
denovo105,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Cladosporium,Cladosporium halotolerans
denovo112,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
denovo120,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Chalastospora,Chalastospora ellipsoidea
denovo127,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Pyricularia,Pyricularia parasitica
denovo131,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
denovo132,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
denovo135,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
denovo156,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citreonigrum
denovo164,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium sp
denovo176,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella sp
denovo183,No blast hit,,,,,,
denovo194,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Cladosporium,Cladosporium halotolerans
denovo205,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes sp
denovo206,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium paxilli
denovo229,No blast hit,,,,,,
denovo232,No blast hit,,,,,,
denovo235,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Epicoccum,Epicoccum nigrum
denovo237,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium lapidosum
denovo239,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae sedis,Cryptococcus,Cryptococcus sp
denovo243,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus conicus
denovo246,No blast hit,,,,,,
denovo265,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,unidentified,unidentified,Eurotiales sp
denovo273,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
denovo282,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima
denovo284,No blast hit,,,,,,
denovo286,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citrinum
denovo291,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,unidentified,Pleosporaceae sp
denovo302,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae sedis,Phoma,Phoma destructiva
denovo364,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe sp
