# bins raw sequence lengths, length of sequences that pass quality filters before processing, and lengths of sequences that pass quality filters post processing.
Length	Raw	Before	After
50	6	0	0
60	11	0	0
70	20	0	0
80	17	0	0
90	53	0	0
100	44	0	0
110	66	0	0
120	55	0	0
130	86	0	0
140	72	0	0
150	98	0	0
160	116	0	0
170	139	0	0
180	245	0	118
190	393	0	58
200	667	0	86
210	388	0	795
220	1116	0	2862
230	4586	135	1395
240	2229	73	2546
250	4910	92	5474
260	19921	846	623
270	21333	2962	669
280	24079	1463	244
290	20433	2565	360
300	31701	5511	66
310	19703	557	40
320	15222	511	24
330	3158	222	67
340	2930	358	7
350	7192	46	16
360	688	7	6
370	2332	21	100
380	843	78	4414
390	337	7	89
400	507	5	642
410	1152	22	8
420	2178	300	22
430	5540	4671	2
440	366	43	5
450	1737	229	34
460	212	7	2
470	128	2	3
480	221	2	0
490	938	5	12
500	203	35	0
510	106	0	1
520	83	3	0
530	62	0	0
540	56	12	0
550	55	0	0
560	47	0	0
570	118	0	0
580	530	0	0
590	572	0	0
